"Processor_Number","Vertical_Segment","nb_of_Cores","Price_USD","Launch_Year","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB"
"i7-8650U","Mobile",4,409,2017,4.2,8,15,32
"i5-8350U","Mobile",4,297,2017,3.6,6,15,32
"i7-7500U","Mobile",2,393,2016,3.5,4,15,32
"i7-7560U","Mobile",2,415,2017,3.8,4,15,32
"i7-7567U","Mobile",2,NA,2017,4,4,28,32
"i7-7600U","Mobile",2,393,2017,3.9,4,15,32
"i7-7660U","Mobile",2,415,2017,4,4,15,32
"i7-7700T","Desktop",4,NA,2017,3.8,8,35,64
"i7-7700K","Desktop",4,NA,2017,4.5,8,91,64
"i7-7700","Desktop",4,NA,2017,4.2,8,65,64
"i7-7700HQ","Mobile",4,378,2017,3.8,6,45,64
"i7-7820EQ","Embedded",4,378,2017,3.7,8,45,64
"i7-7820HK","Mobile",4,378,2017,3.9,8,45,64
"i7-7820HQ","Mobile",4,378,2017,3.9,8,45,64
"i7-7920HQ","Mobile",4,568,2017,4.1,8,45,64
"X1021D","Embedded",1,12.85,2014,0.4,16,2.2,2
"E620","Embedded",1,19,2010,0.6,512,3.3,2
"N2600","Mobile",2,42,2011,1.6,1,3.5,2.44
"E3805","Embedded",2,31,2014,1.33,1,3,8
"D2500","Desktop",2,42,2011,1.86,1,10,4
"C2316","Embedded",2,39,2017,1.5,1,7,16
"","Server",1,NA,NA,1.66,6,122,NA
"","Server",1,NA,NA,1.6,6,122,NA
"","Server",1,NA,NA,0.9,1.5,90,NA
"9010","Server",2,NA,NA,1.6,6,104,NA
"9110N","Server",1,696,2007,1.6,12,75,NA
"9310","Server",2,946,2010,1.6,10,130,NA
"9320","Server",4,1614,2010,1.47,16,155,NA
"9330","Server",4,2059,2010,1.6,20,155,NA
"9340","Server",4,2059,2010,1.73,20,185,NA
"9350","Server",4,3838,2010,1.87,24,185,NA
"9120N","Server",2,910,2007,1.42,12,104,NA
"9130M","Server",2,1552,2007,1.66,8,104,NA
"9140M","Server",2,1980,2007,1.66,18,104,NA
