"Processor_Number","Vertical_Segment","nb_of_Cores","nb_of_Threads","Max_nb_of_Memory_Channels","PCI_Express_Revision","Max_nb_of_PCI_Express_Lanes","Price_USD","Launch_Year","Lithography_nm","Base_Frequency_GHz","Turbo_Frequency_GHz","Cache_MB","TDP_W","Max_Memory_GB","Memory_Bandwidth_GBs"
"930","Desktop",2,2,2,3,16,178,2006,65,3,3,4,95,32,25.6
"840","Desktop",2,2,2,3,16,423,2005,90,3.2,3.2,2,130,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.8,2.8,512,69.7,32,25.6
"641","Desktop",1,1,2,3,16,37,2006,65,3.2,3.2,2,86,32,25.6
"511","Desktop",1,1,2,3,16,37,2005,90,2.8,2.8,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1.6,1.6,256,61,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.6,0.6,512,34.5,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.2,1.2,512,22,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.8,2.8,512,68.4,16,25.6
"548","Mobile",1,1,2,3,12,64,2004,90,3.33,3.33,1,88,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.5,2.5,512,35,16,25.6
"B980","Mobile",2,2,2,2,1,275,2012,32,2.4,2.4,2,35,16,21.3
"G645T","Desktop",2,2,2,2,16,64,2012,32,2.5,2.5,3,35,32,17
"977","Mobile",2,2,2,2,1,275,2012,32,1.4,1.4,2,17,16.38,21.3
"P6200","Mobile",2,2,2,2,1,275,2010,32,2.13,2.13,3,35,8,17.1
"G6950","Desktop",2,2,2,2,16,75,2010,32,2.8,2.8,3,73,16.38,17
"E6500","Desktop",2,2,2,3,16,75,2008,45,2.93,2.93,2,65,32,25.6
"E5400","Desktop",2,2,2,3,16,67,2009,45,2.7,2.7,2,65,32,23.3
"T4300","Mobile",2,2,2,3,12,275,2009,45,2.1,2.1,1,35,16,21
"E2180","Desktop",2,2,2,3,16,75,2007,65,2,2,1,65,32,25.6
"520J","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,84,32,25.6
"T2130","Mobile",2,2,2,3,12,275,2007,65,1.86,1.86,1,31,16,25.6
"715","Mobile",1,1,2,3,12,64,2004,90,1.5,1.5,2,7.5,16,25.6
"","Mobile",1,1,2,3,12,64,2003,130,1.6,1.6,1,24.5,16,25.6
"","Desktop",1,1,2,3,16,37,2002,130,1.2,1.2,256,29.9,32,25.6
"925","Desktop",2,2,2,3,16,74,2006,65,3,3,4,95,32,25.6
"830","Desktop",2,2,2,3,16,316,2005,90,3,3,2,130,32,25.6
"640","Desktop",1,1,2,3,16,37,2005,90,3.2,3.2,2,84,32,25.6
"506","Desktop",1,1,2,3,16,37,2005,90,2.66,2.66,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.4,2.4,512,59.8,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1.5,1.5,256,57.8,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.5,0.5,256,16.8,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.13,1.13,512,21.8,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.66,2.66,512,66.1,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,2.6,2.6,512,35,16,25.6
"538","Mobile",1,1,2,3,12,64,2004,90,3.2,3.2,1,88,16,25.6
"987","Mobile",2,2,2,2,1,275,2012,32,1.5,1.5,2,17,16.38,21.3
"P6100","Mobile",2,2,2,2,1,275,2010,32,2,2,3,35,8,17.1
"U5600","Mobile",2,2,2,2,1,275,2011,32,1.33,1.33,3,18,8,12.8
"G6951","Desktop",2,2,2,2,16,75,2011,32,2.8,2.8,3,73,16.38,17
"T3400","Mobile",2,2,2,3,12,275,2008,65,2.16,2.16,1,35,16,25.6
"E5300","Desktop",2,2,2,3,16,75,2008,45,2.6,2.6,2,65,32,25.6
"T2080","Mobile",2,2,2,3,12,275,2007,65,1.73,1.73,1,31,16,25.6
"E2160","Desktop",2,2,2,3,16,75,2006,65,1.8,1.8,1,65,32,25.6
"965","Desktop",2,2,2,3,16,999,2006,65,3.73,3.73,4,130,32,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.7,1.7,1,24.5,16,25.6
"","Desktop",1,1,2,3,16,37,2002,130,1.13,1.13,256,29.1,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1.1,1.1,256,33,32,25.6
"920","Desktop",2,2,2,3,16,75,2006,65,2.8,2.8,4,95,32,25.6
"820","Desktop",2,2,2,3,16,74,2005,90,2.8,2.8,2,95,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,2.6,2.6,512,69,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,3.73,3.73,2,115,32,25.6
"","Desktop",1,1,2,3,16,37,2002,130,3.4,3.4,2,102.9,32,25.6
"631","Desktop",1,1,2,3,16,37,2006,65,3,3,2,86,32,25.6
"520","Desktop",1,1,2,3,16,37,2004,90,2.8,2.8,1,84,32,25.6
"505J","Desktop",1,1,2,3,16,37,2005,90,2.66,2.66,1,84,32,25.6
"","Desktop",1,1,2,3,16,37,2004,90,2.4,2.4,1,89,32,25.6
"","Desktop",1,1,2,3,16,37,2000,180,1.4,1.4,256,54.7,32,25.6
"","Mobile",1,1,2,3,12,64,2000,180,0.45,0.45,256,15.5,16,25.6
"","Mobile",1,1,2,3,12,64,2002,130,1.06,1.06,512,21,16,25.6
"532","Mobile",1,1,2,3,12,64,2004,90,3.06,3.06,1,88,16,25.6
"997","Mobile",2,2,2,2,1,275,2012,32,1.6,1.6,2,17,16,21.3
"U5400","Mobile",2,2,2,2,1,275,2010,32,1.2,1.2,3,18,8,12.8
"P6000","Mobile",2,2,2,2,1,275,2010,32,1.86,1.86,3,35,8,17.1
"E6300","Desktop",2,2,2,3,16,77,2009,45,2.8,2.8,2,65,32,23.3
"T4200","Mobile",2,2,2,3,12,275,2009,45,2,2,1,35,16,21
"E5200","Desktop",2,2,2,3,16,72,2008,45,2.5,2.5,2,65,32,25.6
"T3200","Mobile",2,2,2,3,12,275,2007,65,2,2,1,35,16,25.6
"","Desktop",1,1,2,3,16,37,2002,130,3,3,512,81.9,32,25.6
"E2140","Desktop",2,2,2,3,16,75,2007,65,1.6,1.6,1,65,32,25.6
